artist_name	cluster_labels
Duran Duran	-1
Kylie Minogue	0
Daft Punk	1
New Order	-1
Coldplay	1
Madonna	0
Depeche Mode	-1
Portishead	-1
Gorillaz	1
Lady Gaga	0
Radiohead	1
Michael Jackson	-1
The Cure	-1
Enrique Iglesias	0
Pink Floyd	-1
Placebo	1
Keane	1
Muse	1
System of a Down	3
Arcade Fire	1
Blur	1
Arctic Monkeys	1
My Chemical Romance	2
Bob Dylan	-1
Death Cab for Cutie	1
Red Hot Chili Peppers	3
Interpol	1
Queens of the Stone Age	-1
The Beatles	-1
Kings of Leon	1
The Killers	1
Green Day	2
Nine Inch Nails	-1
Nirvana	3
Massive Attack	-1
Mariah Carey	0
Rihanna	0
Britney Spears	0
Kelly Clarkson	0
Christina Aguilera	0
Ashlee Simpson	0
Leona Lewis	0
Beyoncé	0
Lily Allen	0
Jennifer Lopez	0
Katy Perry	0
Alicia Keys	0
P!nk	0
Black Eyed Peas	0
Nelly Furtado	0
Ciara	0
Alanis Morissette	0
Hilary Duff	0
Cobra Starship	0
Ashley Tisdale	0
David Guetta	0
Justin Timberlake	0
Kanye West	-1
Avril Lavigne	0
Taylor Swift	0
The Pussycat Dolls	0
Cheryl Cole	0
Linkin Park	2
Evanescence	-1
blink-182	-1
Sigur Rós	-1
The Strokes	1
Yeah Yeah Yeahs	1
The Smiths	-1
The Smashing Pumpkins	-1
Joy Division	-1
Miley Cyrus	0
3OH!3	0
Ke$ha	0
Eminem	-1
30 Seconds to Mars	2
Paramore	-1
U2	-1
Lindsay Lohan	0
Gwen Stefani	0
Pixie Lott	0
Oasis	1
Maroon 5	0
Fall Out Boy	2
Nicole Scherzinger	0
Adam Lambert	0
David Bowie	-1
Pearl Jam	-1
Glee Cast	0
The Veronicas	0
Demi Lovato	0
Selena Gomez & the Scene	0
Florence + the Machine	0
Shakira	0
The Pretty Reckless	0
AC/DC	4
Metallica	4
The White Stripes	-1
The Rolling Stones	-1
Crystal Castles	-1
Marilyn Manson	3
The Doors	-1
Amy Winehouse	0
Timbaland	0
Iron Maiden	4
Megadeth	4
Nightwish	-1
Queen	-1
Nickelback	-1
t.A.T.u.	0
Foo Fighters	3
Slipknot	-1
The Kooks	1
Franz Ferdinand	1
Björk	-1
Rammstein	3
Panic! At the Disco	2
Guns N' Roses	4
Black Sabbath	4
Snow Patrol	1
MGMT	1
Led Zeppelin	-1
Ramones	-1
Avenged Sevenfold	-1
Adele	0
